매장,주소,지역
뚜레쥬르 구미형곡중앙,경북 구미시 형곡로 187 (형곡동),경북
뚜레쥬르 영천망정,경북 영천시 망정1길 140 1층,경북
뚜레쥬르 칠곡석적,경북 칠곡군 석적읍 유학로 36,경북
뚜레쥬르 포항두산위브,경북 포항시 북구 새천년대로 1249번길 10-11,경북
뚜레쥬르 포항양덕,경북 포항시 북구 양덕로 44,경북
뚜레쥬르 경산옥곡,경상북도 경산시 경산로13길 3-3 (옥곡동) 1층,경북
뚜레쥬르 경산정평,경상북도 경산시 대학로 47 (정평동) 1층,경북
뚜레쥬르 경산사동사랑,경상북도 경산시 백자로 71 (사동) 1층 뚜레쥬르 경산사동사랑점,경북
뚜레쥬르 경산신대부적,경상북도 경산시 압량읍 압독3로 15 (신대리) 1층,경북
뚜레쥬르 진량농협하나로마트,경상북도 경산시 진량읍 공단11로 257-10 진량농협하나로마트 1층,경북
뚜레쥬르 경산진량보국,경상북도 경산시 진량읍 다문로 58,경북
뚜레쥬르 경산중산,경상북도 경산시 펜타힐즈2로 57 (중산동) 1층,경북
뚜레쥬르 경산하양,"경상북도 경산시 하양읍 하양로 69 (금락리,크레용빌) 1층",경북
뚜레쥬르 경주동국대,경상북도 경주시 동대로 6 (성건동) 뚜레쥬르 경주동국대점,경북
뚜레쥬르 경주안강,경상북도 경주시 안강읍 비화동길 1 (안강리) 뚜레쥬르 경주안강점,경북
뚜레쥬르 경주동천,"경상북도 경주시 양정로 269 (동천동,금학빌딩) 1층 뚜레쥬르 경주동천점",경북
뚜레쥬르 경주용황,경상북도 경주시 용황구획4길 25 (용강동) 뚜레쥬르 경주용황,경북
뚜레쥬르 경주중앙,경상북도 경주시 중앙로 49 (동부동) 1층 뚜레쥬르 경주중앙점,경북
뚜레쥬르 경주충효서라벌중앙,경상북도 경주시 충효중앙길 57 (충효동) 1층 뚜레쥬르,경북
뚜레쥬르 경주금장,경상북도 경주시 현곡면 용담로 174 (금장리) 109호 뚜레쥬르,경북
뚜레쥬르 구미문성,경상북도 구미시 고아읍 문성로 34 (문성리) 문성2지구 도새가발구역1B-2L 1층,경북
뚜레쥬르 구미원평,경상북도 구미시 구미중앙로21길 21 (원평동) 경북 구미시 구미중앙로21길 21 1층 (원평동,경북
뚜레쥬르 구미북삼,경상북도 구미시 금오대로14길 4 (오태동) 742-5 1층 뚜레쥬르,경북
뚜레쥬르 구미현진,경상북도 구미시 도봉로 76-61 (도량동),경북
뚜레쥬르 구미봉곡중앙,경상북도 구미시 봉곡북로 65 (봉곡동),경북
뚜레쥬르 구미확장,경상북도 구미시 산동면 신당1로 24,경북
뚜레쥬르 구미상모,경상북도 구미시 상사서로 33-2 (상모동),경북
뚜레쥬르 구미신비로,경상북도 구미시 신비로 95(공단동),경북
뚜레쥬르 구미형곡제일,경상북도 구미시 신시로 73 (형곡동) 경상북도 구미시 형곡동 144-5 1층. 現새서,경북
뚜레쥬르 구미옥계,경상북도 구미시 옥계북로 9 (옥계동) 890-4 1층,경북
뚜레쥬르 구미구평,경상북도 구미시 인동36길 24-2 (진평동),경북
뚜레쥬르 김천부곡센트럴,"경상북도 김천시 부곡길 201 (부곡동) 경북 김천시 부곡길 2011층 102호,103",경북
